iter	RMSE
0	2.417128711
1	2.377635474
2	2.349655167
3	2.314620544
4	2.277697178
5	2.246659195
6	2.224184309
7	2.191202801
8	2.15730082
9	2.122959265
10	2.09365774
11	2.065356846
12	2.03746758
13	2.009431563
14	1.981808751
15	1.958818893
16	1.934993125
17	1.91179267
18	1.883486043
19	1.859679326
20	1.840198126
21	1.818947127
22	1.802087136
23	1.777814926
24	1.757416514
25	1.735476175
26	1.717795837
27	1.706354373
28	1.694847804
29	1.677984431
30	1.658627099
31	1.643255494
32	1.625160541
33	1.609973137
34	1.594913253
35	1.579584665
36	1.562777216
37	1.54557641
38	1.530188015
39	1.518781968
40	1.506590943
41	1.498359883
42	1.485136153
43	1.472993149
44	1.459263121
45	1.44795057
46	1.439254685
47	1.426152014
48	1.415781756
49	1.40644261
50	1.388301578
51	1.379905327
52	1.374801597
53	1.368773159
54	1.356861152
55	1.347779367
56	1.337943859
57	1.322867241
58	1.312449237
59	1.30470162
60	1.296991529
61	1.28670603
62	1.280322573
63	1.268422773
64	1.260167319
65	1.253151116
66	1.245839283
67	1.234318911
68	1.229468414
69	1.221639505
70	1.215931689
71	1.209367066
72	1.204504506
73	1.200653958
74	1.189766739
75	1.183496865
76	1.178526302
77	1.167946136
78	1.160752823
79	1.154573759
80	1.15021317
81	1.145947374
82	1.135075937
83	1.131816476
84	1.121398052
85	1.116768027
86	1.113619788
87	1.111169421
88	1.107430005
89	1.103101482
90	1.100403949
91	1.094974062
92	1.091832606
93	1.086592617
94	1.084000987
95	1.080766547
96	1.078130581
97	1.072697022
98	1.069102113
99	1.065675363
100	1.062591654
101	1.05891795
102	1.055932678
103	1.050050565
104	1.048570934
105	1.046348666
106	1.04318553
107	1.04049125
108	1.036313671
109	1.032034403
110	1.029541835
111	1.025927987
112	1.020527125
113	1.017523066
114	1.013373845
115	1.010695533
116	1.005553588
117	1.004548413
118	1.001722256
119	0.9980547976
120	0.9956079376
121	0.9917265801
122	0.9882186756
123	0.9845035233
124	0.9821258584
125	0.9799720855
126	0.9780063826
127	0.9755706577
128	0.9735332865
129	0.9714387311
130	0.9677634125
131	0.9593377812
132	0.9556817214
133	0.9530348556
134	0.9508313403
135	0.9501646068
136	0.9481327658
137	0.9467267216
138	0.9431836843
139	0.938251302
140	0.9368449415
141	0.9339547083
142	0.9325069778
143	0.930720665
144	0.9291639745
145	0.9275831007
146	0.9249758474
147	0.9233830697
148	0.9195845029
149	0.9164722339
150	0.9132868966
151	0.9121958021
152	0.9082544792
153	0.9060557235
154	0.8994415825
155	0.8973793325
156	0.8961831957
157	0.8947289122
158	0.8933237395
159	0.8877380201
160	0.8862189312
161	0.8813363045
162	0.87774035
163	0.874760725
164	0.8722346695
165	0.8685828582
166	0.8655981945
167	0.8637847645
168	0.8626580955
169	0.856831278
170	0.854691393
171	0.8527322592
172	0.8514499448
173	0.8489727377
174	0.8473869523
175	0.8458685565
176	0.8435937931
177	0.841308731
178	0.8399101619
179	0.8382604406
180	0.834461784
181	0.8318037608
182	0.8307320825
183	0.8285239015
184	0.8276170938
185	0.8257018914
186	0.8219276831
187	0.8169633034
188	0.8151308279
189	0.8124140514
190	0.8109533074
191	0.8097691782
192	0.8044064171
193	0.8009882534
194	0.7996883997
195	0.7986419205
196	0.797641626
197	0.7961579614
198	0.7945552014
199	0.7937534374
200	0.7913267027
201	0.7900385989
202	0.7878111361
203	0.7868647789
204	0.7851453521
205	0.782290836
206	0.7805044532
207	0.7780480697
208	0.7764202059
209	0.7748855631
