iter	Passed	Remaining
0	23	47129
1	45	45355
2	69	46548
3	90	45060
4	110	44249
5	130	43348
6	149	42691
7	169	42222
8	189	41929
9	210	41920
10	231	41890
11	254	42093
12	276	42217
13	309	43940
14	331	43911
15	353	43797
16	374	43738
17	394	43401
18	414	43177
19	435	43103
20	455	42947
21	475	42773
22	495	42592
23	514	42392
24	535	42283
25	556	42231
26	578	42251
27	603	42520
28	626	42589
29	651	42800
30	673	42791
31	696	42839
32	717	42758
33	736	42601
34	756	42479
35	776	42359
36	796	42237
37	815	42104
38	835	42013
39	855	41912
40	874	41780
41	899	41912
42	921	41939
43	940	41808
44	960	41710
45	981	41685
46	1000	41594
47	1020	41513
48	1040	41429
49	1060	41356
50	1080	41301
51	1100	41220
52	1122	41238
53	1142	41173
54	1163	41139
55	1193	41430
56	1216	41465
57	1235	41374
58	1255	41311
59	1277	41303
60	1297	41229
61	1316	41153
62	1336	41097
63	1356	41023
64	1375	40954
65	1397	40940
66	1416	40872
67	1435	40791
68	1454	40718
69	1487	41026
70	1510	41027
71	1530	40993
72	1550	40933
73	1570	40886
74	1590	40818
75	1611	40787
76	1630	40710
77	1650	40674
78	1671	40638
79	1691	40598
80	1712	40562
81	1732	40512
82	1752	40478
83	1772	40427
84	1795	40450
85	1816	40423
86	1835	40365
87	1854	40298
88	1874	40239
89	1894	40197
90	1914	40168
91	1934	40129
92	1954	40087
93	1975	40049
94	1994	39989
95	2012	39922
96	2031	39862
97	2060	39982
98	2082	39992
99	2103	39958
100	2122	39900
101	2142	39875
102	2165	39880
103	2186	39868
104	2208	39865
105	2229	39836
106	2249	39791
107	2267	39731
108	2286	39668
109	2305	39609
110	2324	39561
111	2343	39499
112	2366	39511
113	2385	39464
114	2403	39398
115	2422	39350
116	2444	39348
117	2470	39400
118	2497	39472
119	2517	39448
120	2536	39395
121	2556	39351
122	2574	39284
123	2593	39243
124	2613	39199
125	2644	39328
126	2666	39331
127	2686	39286
128	2706	39258
129	2726	39217
130	2746	39178
131	2764	39120
132	2784	39089
133	2804	39051
134	2824	39026
135	2844	38981
136	2862	38931
137	2883	38903
138	2902	38866
139	2940	39060
140	2963	39074
141	2982	39027
142	3001	38982
143	3021	38940
144	3040	38896
145	3061	38871
146	3080	38828
147	3098	38776
148	3118	38740
149	3138	38706
150	3158	38670
151	3178	38644
152	3198	38611
153	3235	38778
154	3257	38773
155	3276	38734
156	3296	38692
157	3315	38654
158	3336	38630
159	3356	38605
160	3377	38574
161	3396	38538
162	3416	38509
163	3438	38494
164	3457	38456
165	3477	38421
166	3496	38377
167	3529	38486
168	3551	38483
169	3571	38444
170	3591	38411
171	3609	38363
172	3630	38336
173	3651	38317
174	3671	38288
175	3691	38262
176	3711	38226
177	3731	38197
178	3752	38175
179	3772	38139
180	3790	38098
181	3823	38193
182	3845	38178
183	3865	38146
184	3885	38116
185	3905	38091
186	3924	38052
187	3944	38020
188	3965	37998
